ist	ziel	art	fundort	welle	bemerkung
ab	from	api-feld	PUT /api/tours/:id/edits (modi/kamera/momente/audio/wetter), GET /api/tours/:id/editor (autoWetter[].ab)	1	§6.9; Grenzen-Anker bleibt ISO-Zeit, nur der Name wechselt
ablauf	expiresAt	api-feld	POST /api/auth/session-aus-token, GET /api/admin/einladungen	1	§6.2 laeuft-ab-am→expiresAt; folgt invitations.expires_at (Grundstock)
alt	old	api-feld	POST /api/auth/me/passwort	1	VORSCHLAG: old; Request, Gegenstueck zu new beim Passwortwechsel
an	enabled	api-feld	POST /api/auth/me/newsletter (Request), POST /api/auth/me/suchmaschinen (Request)	1	§6.7 fuer die SCHALTER; die Test-Response ist der EMPFAENGER: an→to (admin.ts Z. 485) — Fundort dreht die Zielform
an	to	api-feld	POST /api/admin/mailvorlagen/:schluessel/test (Response)	1	Hier KEIN Schalter: der Wert ist admin.email, die Empfaengerin der Testmail (server/src/routes/admin.ts:485)
anbieter	provider	api-feld	GET /api/tracker/providers, GET /api/tracker/imports (importe[].anbieter)	1	folgt tracker provider (Grundstock); Route /api/tracker/providers heisst schon so
angeboten	offered	api-feld	GET /api/admin/warteliste	1	VORSCHLAG: offered; boolean, ob die Warteliste angeboten wird (warteliste.ts Z. 44/181)
angefordertAm	requestedAt	api-feld	GET /api/auth/me (export), POST /api/auth/me/export	1	folgt data_exports.requested_at (Grundstock)
angelegtAm	createdAt	api-feld	GET /api/admin/rueckmeldungen, GET /api/admin/benutzer (benutzer[].angelegtAm)	1	folgt created_at (Grundstock)
angemeldetAm	signedInAt	api-feld	GET /api/auth/me/geraete	1	VORSCHLAG: signedInAt; Zeitpunkt der Anmeldung dieser Sitzung bzw. dieses App-Tokens
angepasst	customized	api-feld	GET /api/admin/mailvorlagen (vorlagen[])	1	VORSCHLAG: customized; Vorlage weicht von der Vorgabe ab
anker	anchor	api-feld	PUT /api/tours/:id/edits (audio[].anker)	1	§6.9; Medien-anchor heisst schon so
anzahl	count	api-feld	GET /api/admin/statistiken (referrer[]/seiten[])	1	VORSCHLAG: count
anzeigename	displayName	api-feld	GET /api/auth/me, PATCH /api/auth/me/profil, GET /api/galerie (autor), GET /api/benutzer/:id/profil, GET /api/tours/:id (autor), GET /api/admin/benutzer	1	§6.7
art	kind	api-feld	GET /api/auth/me/geraete (geraete[].art), PUT /api/tours/:id/edits (momente[].art), GET /api/tours/:id (moments[].art)	1	§6.9: art→kind (kind statt type, §6.0); geraete[].art gleichlaufend kind, Werte sitzung→session und app bleibt
aufrufe	pageviews	api-feld	GET /api/admin/statistiken (heute/letzte7Tage)	1	VORSCHLAG: pageviews; Umami-Begriff
aufteilung	breakdown	api-feld	GET /api/auth/me/speicher	1	VORSCHLAG: breakdown; Speicher nach Dateiart
aufzeichnungen	recordings	api-feld	GET /api/auth/me/speicher (aufteilung)	1	§6.1 Aufnahme/Aufzeichnung→recording; GPS-Rohdaten-Eimer
autor	author	api-feld	GET /api/tours/:id (tour.json), GET /api/galerie (touren[].autor)	1	§6.9; wird bei Auslieferung frisch eingesetzt, nicht eingebacken
autorisierungsUrl	authorizationUrl	api-feld	POST /api/tracker/:provider/connect	1	VORSCHLAG: authorizationUrl; OAuth-Begriff
autoWetter	autoWeather	api-feld	GET /api/tours/:id/editor	1	wetter→weather (§6.9), Praefix mechanisch
basisUrl	baseUrl	api-feld	GET /api/admin/einladungen, GET /api/admin/mailvorlagen	1	basis→base wie basis.css→base.css (Grundstock); war halb deutsch
bausteine	blocks	api-feld	POST /api/admin/mailvorlagen/:schluessel/test (Request), GET /api/admin/mailvorlagen (vorlagen[].bausteine)	1	VORSCHLAG: blocks; die vier Vorlagen-Bausteine title/body/button/footer
benutzer	user	api-feld	POST /api/auth/login, POST /api/auth/register, GET /api/auth/me, GET /api/admin/benutzer, POST /api/admin/benutzer, PATCH /api/admin/benutzer/:id	1	§6.2 Benutzer→user; Response-Feld
benutzerId	userId	api-feld	GET /api/admin/rueckmeldungen, GET /api/tracker/imports (importe[].benutzerId)	1	folgt user_id (Grundstock)
benutzerName	userName	api-feld	GET /api/admin/rueckmeldungen	1	benutzer→user (§6.2), mechanisch zusammengesetzt
benutzt	used	api-feld	GET /api/auth/me (quota), GET /api/auth/me/speicher	1	VORSCHLAG: used; Quota
